Date,Underlying_Price,Risk_Free_Rate_Raw,Risk_Free_Rate_Kalman,Dividend_Yield_Continuous,ATM_IV,Skew_90_110,Kurtosis_Wings,Options_Volume
2016-01-14,1924.57,0.009144692348931125,0.008898124041235207,0.021563222206784173,0.20245855318338912,0.14147193686870774,0.04909987580330427,5569
2016-01-15,1879.82,0.008749446928512388,0.008891622013680075,0.021577546971067,0.22895355390763,0.1622930670636289,0.05945544819031012,5773
2016-01-19,1884.9,0.00878292528036024,0.008886868429606135,0.021568198542549773,0.22092264660525174,0.17174161204243316,0.06877472436541121,5728
2016-01-20,1865.9,0.009320358821296565,0.008905826064846948,0.021680816447045514,0.23259010587813778,0.1749172679507487,0.05834321770699735,5813
2016-01-21,1875.95,0.009315923337343306,0.008923760659602141,0.021596219508588102,0.22540899282509347,0.15101572028216995,0.050736579040499885,5986
2016-01-22,1905.92,0.008471295501673453,0.008903973209666424,0.02158732555061356,0.19718867854147537,0.13922360685330595,0.054123227338380375,5721
2016-01-25,1876.04,0.00894808159685242,0.008905902181406886,0.021595257302972848,0.2171749348518614,0.14553412106176913,0.053119556085283515,5787
2016-01-26,1903.71,0.008764459326870562,0.008899716526326361,0.02158864098636694,0.20432686064108888,0.13895731258249458,0.04657933666269162,5564
2016-01-27,1881.35,0.00813823210345973,0.008866414879491762,0.021713997589036655,0.2151432934741132,0.1399655006346223,0.045255843910145976,5601
2016-01-28,1891.41,0.009010017796137953,0.008872694999571653,0.02171659694686301,0.20326069648070216,0.13443581169398386,0.05026066174315985,5418
2016-01-29,1933.09,0.007096950008489977,0.008795037163395972,0.021652244884255736,0.18025502686494818,0.12972054318306628,0.060967664662967935,5168
2016-02-01,1945.89,0.007509930696222326,0.008738836195353096,0.021664334196479024,0.17710132688446625,0.1335871238525301,0.05588511477779953,5062
2016-02-02,1904.14,0.0072921886645632905,0.008675570626527476,0.021665521721772565,0.2037749238673332,0.14508039565632477,0.03811560182615986,5172
2016-02-03,1910.64,0.007636727300171518,0.00863013937076974,0.02198366386484034,0.1998962780677777,0.14595698593357093,0.04249391751827719,5362
2016-02-04,1914.99,0.007439135806948369,0.00857805376156999,0.021879817818494254,0.19778870524723335,0.13455249335574734,0.041849724970634744,5445
2016-02-05,1876.33,0.007643264452778642,0.008537173052140717,0.02161969930800524,0.21640790899701853,0.13386147396415313,0.033746822552324446,5558
2016-02-08,1853.56,0.007705425213426786,0.00850079860776795,0.021457710304441466,0.23637455096962057,0.14348169586131695,0.03590776097665255,5622
2016-02-09,1853.75,0.0068042922515753465,0.008426606078242662,0.021613556322460873,0.24076472976840713,0.14820232760661103,0.025317589888191383,5647
2016-02-10,1853.61,0.006473387153578752,0.008341186856435147,0.02190349932371553,0.23661022068591853,0.14635956583520462,0.032283804531344884,5620
2016-02-11,1838.17,0.007237597680498591,0.008292924100318386,0.021744892821452783,0.24689571396019439,0.1416097638546306,0.03192868201516341,6063
2016-02-12,1861.65,0.006660541677466249,0.008221535873176214,0.021616594278187146,0.2255881059639457,0.1405173303456938,0.04702807459322281,5892
2016-02-16,1893.0,0.0061342066012891935,0.008130251665446496,0.021849267013637468,0.20969096534011195,0.149214095471659,0.0760889583559014,5638
2016-02-17,1926.28,0.006693174294754139,0.00806740462401572,0.02183469103189911,0.19632656064771153,0.14607619323038207,0.07986803124262298,5491
2016-02-18,1917.58,0.007183236637330797,0.008028737713504017,0.021805996022621617,0.19021098474788276,0.14093972947247863,0.0539763501504231,5300
2016-02-19,1917.03,0.007343313784684267,0.007998762385153096,0.021790563909377225,0.18406897040971704,0.136240251004832,0.056976325945952755,5206
2016-02-22,1944.12,0.00715888436057374,0.007962032387114015,0.021673279897347218,0.1716673727642264,0.1338274167221064,0.05728086460532378,4981
2016-02-23,1923.96,0.007287024896341592,0.007932512596040955,0.02172394670214947,0.18591424384217092,0.14383161721965318,0.05049542858166625,5315
2016-02-24,1927.4,0.008063505812507303,0.00793824126192235,0.021744599492782873,0.18937559279311705,0.1357518953093161,0.046789656037037275,5260
2016-02-25,1947.75,0.007231165131309802,0.007907319027823075,0.02181422662958269,0.1756361454719658,0.13592935640061635,0.054694456002088526,5274
2016-02-26,1949.91,0.007490045886253213,0.007889070614097405,0.021763028235722983,0.17456538869210517,0.13233893504086106,0.05571391565405778,5222
2016-02-29,1938.8,0.007901080727297213,0.007889595846835218,0.021850136673639064,0.1857037492477369,0.1431524122964169,0.04544486633091663,5247
2016-03-01,1973.68,0.007620328842026049,0.007877820117182589,0.0219728653799145,0.1649763777276897,0.13812956903296755,0.05928369588531546,5103
2016-03-02,1982.89,0.007924323162922908,0.007879853813420455,0.022133339085890748,0.157362986146882,0.13193863407396578,0.06406627133828285,4993
2016-03-03,1992.06,0.007397774380293113,0.00785877125605468,0.02203814788908431,0.15322011840203364,0.1250502996174436,0.05825667429279002,5121
2016-03-04,2000.44,0.0071627389220077185,0.007828331995213813,0.022161607406711546,0.1536174710292731,0.12120369710597492,0.060368864069190675,5100
2016-03-07,1999.38,0.0077163247273922715,0.007823433633062347,0.022096483991167995,0.15931690795890724,0.1292366521504988,0.06137736725976711,5036
2016-03-08,1981.46,0.007206188722822951,0.007796439946265886,0.02219687011230664,0.1699570869771988,0.14067032101391738,0.05425231996427818,5364
